idx,gold_label,Sentence1,Sentence2,Explanation_1,Translated_Sentence1,Translation_Evaluation_Sentence1,Translated_Sentence2,Translation_Evaluation_Sentence2,Translated_Explanation_1,Translation_Evaluation_Explanation_1,Well-Written,Related,Factual,New Information,Unnecessary Information,Back_Sentence1,Back_Sentence2
21138,contradiction,A woman in a blue apron cooking in a kitchen.,A woman in a pink apron sitting in a kitchen.,The apron is either blue or pink. The woman can't be cooking if she's sitting.,Eine Frau in einer blauen Schürze kocht in einer Küche.,,Eine Frau in einer rosa Schürze sitzt in einer Küche.,,,,,,,,,A woman in a blue apron is cooking in a kitchen.,A woman in a pink apron is sitting in a kitchen.
250485,contradiction,This young man smiles as he discovers a horseshoe crab in the sand.,The young man is at school taking a math test.,The young man is either at school or in the sand.,"Dieser junge Mann lächelt, während er eine Pferdesandkrabbe im Sand entdeckt.",,Der junge Mann ist in der Schule und macht eine Matheprüfung.,,,,,,,,,This young man is smiling as he discovers a horseshoe crab in the sand.,The young man is at school and taking a math exam.
186188,contradiction,Three young boys playing with the mud on a beach.,Three young girls are at the beach.,Boys and girls are different people.,Drei junge Jungen spielen mit dem Schlamm am Strand.,,Drei junge Mädchen sind am Strand.,,,,,,,,,Three young boys play with the mud on the beach.,Three young girls are at the beach.
117856,contradiction,A lock box on a pole with the keys in it.,A blue lock box  attached to the side of the house.,A pole is not the same as a house.,Eine Schließfachbox an einem Pfosten mit den Schlüsseln darin.,,Eine blaue Schließfachbox an der Seite des Hauses befestigt.,,,,,,,,,A safe deposit box on a post with the keys inside.,A blue safe deposit box attached to the side of the house.
95555,entailment,A man pours water on plants in a vast field of small plants.,A man waters plants,A man gave the plants water.,Ein Mann gießt Wasser auf Pflanzen in einem weitläufigen Feld kleiner Pflanzen.,,Ein Mann gießt Pflanzen,,,,,,,,,A man is watering plants in an extensive field of small plants.,A man is watering plants.
132042,contradiction,Dark nightclub with chairs.,The bouncers escorted a belligerent patron from the bar.,A nightclub might include a bar but a bar is not necessarily a nightclub.,Dunkle Nachtbar mit Stühlen.,,Die Türsteher eskortierten einen feindseligen Gast aus der Bar.,,,,,,,,,Dark nightclub with chairs.,The bouncers escorted an unfriendly guest out of the bar.
176217,entailment,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.",a young woman smiles as she shoots at an indoor shooting range,A young woman shoots a gun in  target range,"Eine junge Frau lächelt, während sie eine Waffe in einer Indoor-Schießanlage auf ein Ziel richtet, während ein älterer Mann unbeteiligt zuschaut.",,"Eine junge Frau lächelt, während sie in einer Indoor-Schießanlage schießt.",,,,,,,,,"A young woman smiles while aiming a weapon at a target in an indoor shooting range, as an older man watches disinterestedly.",A young woman smiles while shooting at an indoor shooting range.
21772,entailment,A man wearing a martial arts uniform is jumping through the air.,"The man leaps through the air, whilst wearing a martial arts uniform.",jumping   implies leaps,Ein Mann in einem Kampfkunstanzug springt durch die Luft.,,"Der Mann springt durch die Luft, während er eine Kampfkunstuniform trägt.",,,,,,,,,A man in a martial arts uniform leaps through the air.,The man leaps through the air while wearing a martial arts uniform.
12091,contradiction,A girl wearing a white hooded sweater is sitting on the ground.,A dog is sleeping.,Girl and dog are different.,Ein Mädchen in einem weißen Kapuzenpullover sitzt auf dem Boden.,,Ein Hund schläft.,,,,,,,,,A girl in a white hoodie is sitting on the floor.,A dog is sleeping.
159981,entailment,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,a dark haired woman stands behind a group wearing a small shirt,brunette woman implies that she is dark haired and shirt too small for her means that she is wearing a small shirt.,"Eine brünette Frau in einem blauen Hemd, das zu klein für sie ist, steht hinter lässig gekleideten Menschen.",,Eine dunkelhaarige Frau steht hinter einer Gruppe und trägt ein kleines Hemd.,,,,,,,,,A brunette woman in a blue shirt that is too small for her stands behind casually dressed people.,A dark-haired woman stands behind a group and is wearing a small shirt.
111189,neutral,Old woman with a white sweater and shawl standing at a shopping center in London.,An old woman is shopping for a new sweater.,Just because old woman with a white sweater and shawl standing at a shopping center in London does not mean she is shopping for a new sweater.,Alte Frau mit einem weißen Pullover und Schal steht vor einem Einkaufszentrum in London.,,Eine alte Frau kauft einen neuen Pullover.,,,,,,,,,An old woman wearing a white sweater and scarf stands in front of a shopping mall in London.,An old woman buys a new sweater.
32392,contradiction,The girl on the unicycle reaches out for the child on the scooter.,roadrage takes place on a highway,A girl on a unicycle wouldn't have roadrage on a highway.,Das Mädchen auf dem Einrad streckt die Hand nach dem Kind auf dem Roller aus.,,Roadrage findet auf einer Autobahn statt.,,,,,,,,,The girl on the unicycle stretches her hand towards the child on the scooter.,Road rage occurs on a highway.
247395,contradiction,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,The man in a brown shirt is juggling in front of a crowd of people.,The man cannot be juggling and playing a musical instrument at the same time.,Ein Mann in einem braunen Hemd spielt ein Musikinstrument mit einer Band vor einer Menschenmenge.,,Der Mann im braunen Hemd jongliert vor einer Menschenmenge.,,,,,,,,,A man in a brown shirt is playing a musical instrument with a band in front of a crowd.,The man in the brown shirt is juggling in front of a crowd.
119391,neutral,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,The toddler is wearing a blue polo shirt.,He is wearing a polo shirt.,Ein Kleinkind in einem blauen Hemd mit roten Shorts und Mütze schaut aus einem eingezäunten Bereich eines gepflasterten Hofs hervor.,,Das Kleinkind trägt ein blaues Polohemd.,,,,,,,,,A toddler in a blue shirt with red shorts and cap is peeking out from an enclosed area of a paved courtyard.,The toddler is wearing a blue polo shirt.
194107,contradiction,Pink shirted woman sleeping in a car with blue and white blanket on her.,The women in on her phone in the car.,A woman cannot be sleeping and be on her phone.,Eine Frau im rosa Hemd schläft in einem Auto mit einer blau-weißen Decke auf sich.,,Die Frau im Auto ist am Telefon.,,,,,,,,,A woman in a pink shirt is sleeping in a car with a blue-and-white blanket on her.,The woman in the car is on the phone.
201327,neutral,A pair of black women on the street where one of them is walking past.,Two women are walking,A person can pass another person without both of them walking.  The person being passed could be standing still.,"Ein Paar schwarzer Frauen auf der Straße, von denen eine an der anderen vorbeigeht.",,Zwei Frauen gehen spazieren.,,,,,,,,,"A pair of black women on the street, one of whom passes by the other.",Two women are going for a walk.
214850,contradiction,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,The girls are in different rooms on top of the Empire State Building.,There is no pool at the top of the Empire State Building and the girls would not be seen holding hands if they were in different rooms.,"Wir sehen die Rücken eines jungen asiatischen Mädchens mit einem grünen Hemd und einer roten Mütze, das Händchen hält mit einem jungen asiatischen Mädchen mit einem gestreiften rosa Hemd und einer rosa Mütze am Pool.",,Die Mädchen sind in verschiedenen Räumen auf dem Dach des Empire State Buildings.,,,,,,,,,We see the back of a young Asian girl wearing a green shirt and a red cap holding hands with a young Asian girl in a striped pink shirt and a pink cap by the pool.,The girls are in different rooms on the roof of the Empire State Building.
37943,neutral,two man in the army with a small boy from the area.,Two army guys talk to a little boy about army trucks.,"The two men and small boy can be from the area without talking to each other. If they were talking to each other, it wouldn't have to be about army trucks.",zwei Männer in der Armee mit einem kleinen Jungen aus der Gegend.,,Zwei Soldaten reden mit einem kleinen Jungen über Militär-LKW.,,,,,,,,,two men in the army with a little boy from the area.,Two soldiers are talking to a little boy about military trucks.
31015,entailment,A street vendor sitting on a sidewalk with eggs and live chickens.,A street vendor is sitting.,A street vendor sitting is the same as a street vendor is sitting,Ein Straßenhändler sitzt am Straßenrand mit Eiern und lebenden Hühnern.,,Ein Straßenverkäufer sitzt.,,,,,,,,,A street vendor sits by the roadside with eggs and live chickens.,A street vendor is sitting.
163329,neutral,A man painted in gold with cycle stands in the street.,A man in bright gold paint stands near the building in the street.,A man painted in gold can not be expected to be bright and not all streets have buildings and not all buildings have streets,Ein mit Gold bemalter Mann mit einem Fahrrad steht auf der Straße.,,Ein Mann mit hellem Goldfarbe steht nahe dem Gebäude auf der Straße.,,,,,,,,,A man painted with gold and holding a bicycle stands on the street.,A man with light gold color stands near the building on the street.
147455,entailment,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.",Man in blue wades through water in front of a beautiful mountain scene.,"A man in blue wades as known as shorts sees green mountains in the background, which is also known as a beautiful mountain scene.","Mit einem schönen blauen Himmel und grünen Bergen im Hintergrund watet ein Mann in blauer Shorts und blauem Hemd durch das seichte, klare Wasser und trägt etwas Weißes.",,Ein Mann im Blauen watet durch Wasser vor einer schönen Berglandschaft.,,,,,,,,,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear water carrying something white.",A man in blue wades through water in front of a beautiful mountain landscape.
163346,neutral,A large crowd of people are walking.,A large crowd is touring a museum.,Walking does not imply touring a museum.,Eine große Menschenmenge geht spazieren.,,Eine große Menschenmenge besichtigt ein Museum.,,,,,,,,,A large crowd of people is walking.,A large crowd visits a museum.
78290,neutral,Two elderly people sit in handicapped chairs on a train.,Two people are on a long train ride.,Train rides can be long or short or somewhere in between.,Zwei ältere Menschen sitzen in Rollstühlen in einem Zug.,,Zwei Menschen sind auf einer langen Zugfahrt.,,,,,,,,,Two elderly people are sitting in wheelchairs on a train.,Two people are on a long train journey.
145133,neutral,A woman cuts a cake while the woman next to her holds out a plate.,the woman is at a party,People can have cake at other places besides a party.,"Eine Frau schneidet einen Kuchen, während die Frau neben ihr einen Teller hinhält.",,Die Frau ist auf einer Party.,,,,,,,,,A woman is cutting a cake while the woman next to her holds out a plate.,The woman is at a party.
45546,contradiction,A person with a bag walking in a big city.,The man dropped his bag on the street.,Either it is a person walking with a bad in the city or a man dropped his bag in the street.,Eine Person mit einer Tasche geht in einer großen Stadt spazieren.,,Der Mann ließ seine Tasche auf der Straße fallen.,,,,,,,,,A person with a bag is walking in a big city.,The man dropped his bag on the street.
45705,neutral,14 men standing on a stairway outside almost all wearing the same shirt.,14 men posing for a picture.,Just because the men are standing on a stairway does not mean they are posing for a picture.,"14 Männer stehen auf einer Treppe draußen, fast alle tragen das gleiche Hemd.",,14 Männer posieren für ein Foto.,,,,,,,,,"14 men are standing on a staircase outside, almost all wearing the same shirt.",14 men pose for a photo.
147693,contradiction,Two children walking down a path in the woods.,There are kids at a beach.,The kids should be either at the woods or at a beach.,Zwei Kinder gehen einen Weg im Wald entlang.,,Es gibt Kinder am Strand.,,,,,,,,,Two children are walking along a path in the forest.,There are children on the beach.
5858,neutral,Young people are playing in the snow while an older person seems to be taking pictures.,Young people play in the fresh snow.,The snow is not necessarily fresh.,"Junge Menschen spielen im Schnee, während eine ältere Person anscheinend Fotos macht.",,Junge Menschen spielen im frischen Schnee.,,,,,,,,,"Young people are playing in the snow, while an older person apparently takes photos.",Young people play in the fresh snow.
11785,entailment,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,The people behind the barrier are watching a guy on a bike.,If they are looking from behind that indicates they are watching.,"Person in blauer Jacke auf einem Fahrrad auf einer Schotterstrecke mit Menschen, die hinter einer roten und weißen Absperrung zuschauen.",,Die Menschen hinter der Absperrung beobachten einen Mann auf einem Fahrrad.,,,,,,,,,Person in a blue jacket on a bicycle on a gravel track with people watching behind a red and white barrier.,The people behind the barrier are watching a man on a bicycle.
